name,slug,city,state,type,established_year,nirf_rank,nirf_category,naac_grade,rating,total_ratings,min_fees,max_fees,placement_percent,avg_package,highest_package,top_recruiters,courses_offered,website,ugc_approved,about,source
State University Nagpur 13,state-university-nagpur-13,Nagpur,Maharashtra,GOVERNMENT,1942,172,Medical,B++,3.9,2409,106158,121459,82.0,9.5,35.6,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Medical|MBA|B.Sc,https://www.state-university-nagpur-13.edu.in,True,"State University Nagpur 13 is a premier government institution located in Nagpur, Maharashtra. Established in 1942, it is highly ranked in Medical.",kaggle_fallback
State University Raipur 14,state-university-raipur-14,Raipur,Chhattisgarh,GOVERNMENT,1992,53,Law,A+,4.0,4204,57817,82442,94.1,6.7,21.3,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Law|MBA|B.Sc,https://www.state-university-raipur-14.edu.in,True,"State University Raipur 14 is a premier government institution located in Raipur, Chhattisgarh. Established in 1992, it is highly ranked in Law.",kaggle_fallback
Pune Institute of Medical 15,pune-institute-of-medical-15,Pune,Maharashtra,PRIVATE,1985,121,Medical,A,3.9,210,51228,60242,67.1,5.1,34.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Medical|MBA|B.Sc,https://www.pune-institute-of-medical-15.edu.in,True,"Pune Institute of Medical 15 is a premier private institution located in Pune, Maharashtra. Established in 1985, it is highly ranked in Medical.",kaggle_fallback
State University Nagpur 16,state-university-nagpur-16,Nagpur,Maharashtra,GOVERNMENT,2012,71,Commerce,A++,4.2,161,261973,293876,80.1,13.7,38.5,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Commerce|MBA|B.Sc,https://www.state-university-nagpur-16.edu.in,True,"State University Nagpur 16 is a premier government institution located in Nagpur, Maharashtra. Established in 2012, it is highly ranked in Commerce.",kaggle_fallback
State University Patna 17,state-university-patna-17,Patna,Bihar,GOVERNMENT,1961,96,Engineering,A,4.6,4448,278319,341499,80.8,8.6,21.4,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.state-university-patna-17.edu.in,True,"State University Patna 17 is a premier government institution located in Patna, Bihar. Established in 1961, it is highly ranked in Engineering.",kaggle_fallback
State University Chandigarh 18,state-university-chandigarh-18,Chandigarh,Chandigarh,GOVERNMENT,1971,182,Science,A,3.6,2346,167425,232278,78.5,14.6,13.4,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Science|MBA|B.Sc,https://www.state-university-chandigarh-18.edu.in,True,"State University Chandigarh 18 is a premier government institution located in Chandigarh, Chandigarh. Established in 1971, it is highly ranked in Science.",kaggle_fallback
Chandigarh Institute of Engineering 19,chandigarh-institute-of-engineering-19,Chandigarh,Chandigarh,PRIVATE,1965,123,Engineering,A,4.4,4048,262077,382205,75.6,8.8,23.3,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.chandigarh-institute-of-engineering-19.edu.in,True,"Chandigarh Institute of Engineering 19 is a premier private institution located in Chandigarh, Chandigarh. Established in 1965, it is highly ranked in Engineering.",kaggle_fallback
State University Patna 20,state-university-patna-20,Patna,Bihar,GOVERNMENT,1977,143,Management,A++,4.5,1946,256676,306135,67.8,10.1,12.4,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Management|MBA|B.Sc,https://www.state-university-patna-20.edu.in,True,"State University Patna 20 is a premier government institution located in Patna, Bihar. Established in 1977, it is highly ranked in Management.",kaggle_fallback
State University Jaipur 21,state-university-jaipur-21,Jaipur,Rajasthan,DEEMED,1963,167,Commerce,B++,4.3,155,323182,364064,67.9,12.1,39.3,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Commerce|MBA|B.Sc,https://www.state-university-jaipur-21.edu.in,True,"State University Jaipur 21 is a premier deemed institution located in Jaipur, Rajasthan. Established in 1963, it is highly ranked in Commerce.",kaggle_fallback
State University Raipur 22,state-university-raipur-22,Raipur,Chhattisgarh,DEEMED,1956,183,Medical,A++,4.7,206,92645,134928,65.9,11.6,23.6,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Medical|MBA|B.Sc,https://www.state-university-raipur-22.edu.in,True,"State University Raipur 22 is a premier deemed institution located in Raipur, Chhattisgarh. Established in 1956, it is highly ranked in Medical.",kaggle_fallback
State University Jaipur 23,state-university-jaipur-23,Jaipur,Rajasthan,DEEMED,1949,195,Commerce,B++,3.9,3964,206639,260638,84.8,5.8,34.5,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Commerce|MBA|B.Sc,https://www.state-university-jaipur-23.edu.in,True,"State University Jaipur 23 is a premier deemed institution located in Jaipur, Rajasthan. Established in 1949, it is highly ranked in Commerce.",kaggle_fallback
State University Patna 24,state-university-patna-24,Patna,Bihar,DEEMED,1962,155,Commerce,A+,3.6,2976,267463,380971,61.4,7.9,16.5,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Commerce|MBA|B.Sc,https://www.state-university-patna-24.edu.in,True,"State University Patna 24 is a premier deemed institution located in Patna, Bihar. Established in 1962, it is highly ranked in Commerce.",kaggle_fallback
State University Raipur 25,state-university-raipur-25,Raipur,Chhattisgarh,DEEMED,1984,80,Commerce,A++,3.6,3727,408549,530909,80.0,8.7,41.7,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Commerce|MBA|B.Sc,https://www.state-university-raipur-25.edu.in,True,"State University Raipur 25 is a premier deemed institution located in Raipur, Chhattisgarh. Established in 1984, it is highly ranked in Commerce.",kaggle_fallback
Jaipur Institute of Medical 26,jaipur-institute-of-medical-26,Jaipur,Rajasthan,PRIVATE,2014,52,Medical,A++,4.7,2615,136293,163043,65.3,12.5,13.4,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Medical|MBA|B.Sc,https://www.jaipur-institute-of-medical-26.edu.in,True,"Jaipur Institute of Medical 26 is a premier private institution located in Jaipur, Rajasthan. Established in 2014, it is highly ranked in Medical.",kaggle_fallback
State University Chandigarh 27,state-university-chandigarh-27,Chandigarh,Chandigarh,GOVERNMENT,1948,151,Engineering,A,3.8,1217,149362,200126,66.6,7.5,16.4,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.state-university-chandigarh-27.edu.in,True,"State University Chandigarh 27 is a premier government institution located in Chandigarh, Chandigarh. Established in 1948, it is highly ranked in Engineering.",kaggle_fallback
Amity University Nagpur 28,amity-university-nagpur-28,Nagpur,Maharashtra,PRIVATE,1980,129,Medical,A+,4.3,1553,405132,490061,89.3,4.8,37.7,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Medical|MBA|B.Sc,https://www.amity-university-nagpur-28.edu.in,True,"Amity University Nagpur 28 is a premier private institution located in Nagpur, Maharashtra. Established in 1980, it is highly ranked in Medical.",kaggle_fallback
Patna Institute of Law 29,patna-institute-of-law-29,Patna,Bihar,PRIVATE,1988,153,Law,A++,4.7,3127,140257,205274,73.3,9.1,11.3,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Law|MBA|B.Sc,https://www.patna-institute-of-law-29.edu.in,True,"Patna Institute of Law 29 is a premier private institution located in Patna, Bihar. Established in 1988, it is highly ranked in Law.",kaggle_fallback
State University Patna 30,state-university-patna-30,Patna,Bihar,DEEMED,1965,85,Arts,A,4.7,3655,471184,619643,75.6,8.2,35.6,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Arts|MBA|B.Sc,https://www.state-university-patna-30.edu.in,True,"State University Patna 30 is a premier deemed institution located in Patna, Bihar. Established in 1965, it is highly ranked in Arts.",kaggle_fallback
State University Bhopal 31,state-university-bhopal-31,Bhopal,Madhya Pradesh,DEEMED,1963,58,Arts,B++,3.8,4413,477287,596793,93.6,9.6,41.8,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Arts|MBA|B.Sc,https://www.state-university-bhopal-31.edu.in,True,"State University Bhopal 31 is a premier deemed institution located in Bhopal, Madhya Pradesh. Established in 1963, it is highly ranked in Arts.",kaggle_fallback
Amity University Nagpur 32,amity-university-nagpur-32,Nagpur,Maharashtra,PRIVATE,1968,146,Science,A++,4.5,932,109443,134961,73.5,13.6,12.1,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Science|MBA|B.Sc,https://www.amity-university-nagpur-32.edu.in,True,"Amity University Nagpur 32 is a premier private institution located in Nagpur, Maharashtra. Established in 1968, it is highly ranked in Science.",kaggle_fallback
State University Jaipur 33,state-university-jaipur-33,Jaipur,Rajasthan,GOVERNMENT,1993,104,Commerce,A+,3.7,2029,498749,586209,89.6,9.7,23.4,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Commerce|MBA|B.Sc,https://www.state-university-jaipur-33.edu.in,True,"State University Jaipur 33 is a premier government institution located in Jaipur, Rajasthan. Established in 1993, it is highly ranked in Commerce.",kaggle_fallback
Chandigarh Institute of Arts 34,chandigarh-institute-of-arts-34,Chandigarh,Chandigarh,PRIVATE,1964,200,Arts,B++,4.4,2241,444499,556476,86.4,7.8,14.4,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Arts|MBA|B.Sc,https://www.chandigarh-institute-of-arts-34.edu.in,True,"Chandigarh Institute of Arts 34 is a premier private institution located in Chandigarh, Chandigarh. Established in 1964, it is highly ranked in Arts.",kaggle_fallback
State University Nagpur 35,state-university-nagpur-35,Nagpur,Maharashtra,GOVERNMENT,2011,132,Management,A,4.5,729,179977,207172,71.4,7.7,24.7,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Management|MBA|B.Sc,https://www.state-university-nagpur-35.edu.in,True,"State University Nagpur 35 is a premier government institution located in Nagpur, Maharashtra. Established in 2011, it is highly ranked in Management.",kaggle_fallback
Amity University Pune 36,amity-university-pune-36,Pune,Maharashtra,PRIVATE,1952,95,Management,A++,4.2,1335,334729,484568,74.7,7.8,16.9,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Management|MBA|B.Sc,https://www.amity-university-pune-36.edu.in,True,"Amity University Pune 36 is a premier private institution located in Pune, Maharashtra. Established in 1952, it is highly ranked in Management.",kaggle_fallback
State University Patna 37,state-university-patna-37,Patna,Bihar,DEEMED,1987,114,Science,A,4.4,3962,219415,297027,77.5,9.3,35.3,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Science|MBA|B.Sc,https://www.state-university-patna-37.edu.in,True,"State University Patna 37 is a premier deemed institution located in Patna, Bihar. Established in 1987, it is highly ranked in Science.",kaggle_fallback
Dehradun Institute of Commerce 38,dehradun-institute-of-commerce-38,Dehradun,Uttarakhand,PRIVATE,1973,128,Commerce,B++,3.5,2185,442431,658486,66.8,7.3,26.7,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Commerce|MBA|B.Sc,https://www.dehradun-institute-of-commerce-38.edu.in,True,"Dehradun Institute of Commerce 38 is a premier private institution located in Dehradun, Uttarakhand. Established in 1973, it is highly ranked in Commerce.",kaggle_fallback
Patna Institute of Medical 39,patna-institute-of-medical-39,Patna,Bihar,PRIVATE,1985,145,Medical,A,4.5,2390,172671,224383,64.8,10.8,10.8,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Medical|MBA|B.Sc,https://www.patna-institute-of-medical-39.edu.in,True,"Patna Institute of Medical 39 is a premier private institution located in Patna, Bihar. Established in 1985, it is highly ranked in Medical.",kaggle_fallback
Amity University Pune 40,amity-university-pune-40,Pune,Maharashtra,PRIVATE,1983,121,Management,A,4.8,4801,448300,535578,73.0,4.0,14.9,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Management|MBA|B.Sc,https://www.amity-university-pune-40.edu.in,True,"Amity University Pune 40 is a premier private institution located in Pune, Maharashtra. Established in 1983, it is highly ranked in Management.",kaggle_fallback
Pune Institute of Commerce 41,pune-institute-of-commerce-41,Pune,Maharashtra,PRIVATE,1995,83,Commerce,A+,3.6,621,299676,413331,91.8,7.9,40.2,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Commerce|MBA|B.Sc,https://www.pune-institute-of-commerce-41.edu.in,True,"Pune Institute of Commerce 41 is a premier private institution located in Pune, Maharashtra. Established in 1995, it is highly ranked in Commerce.",kaggle_fallback
Jaipur Institute of Management 42,jaipur-institute-of-management-42,Jaipur,Rajasthan,PRIVATE,1974,56,Management,A++,3.5,3034,169238,211128,69.2,12.0,26.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Management|MBA|B.Sc,https://www.jaipur-institute-of-management-42.edu.in,True,"Jaipur Institute of Management 42 is a premier private institution located in Jaipur, Rajasthan. Established in 1974, it is highly ranked in Management.",kaggle_fallback
State University Kochi 43,state-university-kochi-43,Kochi,Kerala,DEEMED,2001,181,Engineering,B++,3.6,3884,102227,119016,61.6,6.1,14.2,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.state-university-kochi-43.edu.in,True,"State University Kochi 43 is a premier deemed institution located in Kochi, Kerala. Established in 2001, it is highly ranked in Engineering.",kaggle_fallback
State University Jaipur 44,state-university-jaipur-44,Jaipur,Rajasthan,GOVERNMENT,1995,127,Management,A,4.1,726,415584,529167,81.0,7.3,10.7,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Management|MBA|B.Sc,https://www.state-university-jaipur-44.edu.in,True,"State University Jaipur 44 is a premier government institution located in Jaipur, Rajasthan. Established in 1995, it is highly ranked in Management.",kaggle_fallback
State University Nagpur 45,state-university-nagpur-45,Nagpur,Maharashtra,GOVERNMENT,1958,155,Engineering,B++,3.8,220,376895,444213,65.3,12.8,20.5,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.state-university-nagpur-45.edu.in,True,"State University Nagpur 45 is a premier government institution located in Nagpur, Maharashtra. Established in 1958, it is highly ranked in Engineering.",kaggle_fallback
State University Kochi 46,state-university-kochi-46,Kochi,Kerala,GOVERNMENT,1979,126,Engineering,A,4.1,389,283224,319436,87.0,10.3,34.2,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.state-university-kochi-46.edu.in,True,"State University Kochi 46 is a premier government institution located in Kochi, Kerala. Established in 1979, it is highly ranked in Engineering.",kaggle_fallback
Raipur Institute of Management 47,raipur-institute-of-management-47,Raipur,Chhattisgarh,PRIVATE,1966,193,Management,B++,3.6,3165,422412,548508,67.1,9.1,21.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Management|MBA|B.Sc,https://www.raipur-institute-of-management-47.edu.in,True,"Raipur Institute of Management 47 is a premier private institution located in Raipur, Chhattisgarh. Established in 1966, it is highly ranked in Management.",kaggle_fallback
Amity University Nagpur 48,amity-university-nagpur-48,Nagpur,Maharashtra,PRIVATE,1963,132,Engineering,B++,4.5,562,69972,96931,79.3,4.8,30.6,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.amity-university-nagpur-48.edu.in,True,"Amity University Nagpur 48 is a premier private institution located in Nagpur, Maharashtra. Established in 1963, it is highly ranked in Engineering.",kaggle_fallback
Patna Institute of Arts 49,patna-institute-of-arts-49,Patna,Bihar,PRIVATE,1962,102,Arts,B++,4.3,2498,87924,100005,85.5,13.1,42.9,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Arts|MBA|B.Sc,https://www.patna-institute-of-arts-49.edu.in,True,"Patna Institute of Arts 49 is a premier private institution located in Patna, Bihar. Established in 1962, it is highly ranked in Arts.",kaggle_fallback
State University Bhopal 50,state-university-bhopal-50,Bhopal,Madhya Pradesh,DEEMED,1950,144,Commerce,A+,4.4,3239,316410,365097,81.6,5.8,25.5,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Commerce|MBA|B.Sc,https://www.state-university-bhopal-50.edu.in,True,"State University Bhopal 50 is a premier deemed institution located in Bhopal, Madhya Pradesh. Established in 1950, it is highly ranked in Commerce.",kaggle_fallback
State University Pune 51,state-university-pune-51,Pune,Maharashtra,DEEMED,2013,73,Commerce,A++,4.5,4678,77228,106592,83.6,9.3,37.7,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Commerce|MBA|B.Sc,https://www.state-university-pune-51.edu.in,True,"State University Pune 51 is a premier deemed institution located in Pune, Maharashtra. Established in 2013, it is highly ranked in Commerce.",kaggle_fallback
Amity University Bhopal 52,amity-university-bhopal-52,Bhopal,Madhya Pradesh,PRIVATE,1959,152,Commerce,A++,4.9,3134,342910,405397,73.1,4.9,35.6,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Commerce|MBA|B.Sc,https://www.amity-university-bhopal-52.edu.in,True,"Amity University Bhopal 52 is a premier private institution located in Bhopal, Madhya Pradesh. Established in 1959, it is highly ranked in Commerce.",kaggle_fallback
Dehradun Institute of Management 53,dehradun-institute-of-management-53,Dehradun,Uttarakhand,PRIVATE,1962,149,Management,A,4.8,2604,254793,300881,86.3,5.9,13.4,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Management|MBA|B.Sc,https://www.dehradun-institute-of-management-53.edu.in,True,"Dehradun Institute of Management 53 is a premier private institution located in Dehradun, Uttarakhand. Established in 1962, it is highly ranked in Management.",kaggle_fallback
Bhopal Institute of Medical 54,bhopal-institute-of-medical-54,Bhopal,Madhya Pradesh,PRIVATE,1963,162,Medical,A,3.8,1162,391319,566437,78.3,6.1,13.9,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Medical|MBA|B.Sc,https://www.bhopal-institute-of-medical-54.edu.in,True,"Bhopal Institute of Medical 54 is a premier private institution located in Bhopal, Madhya Pradesh. Established in 1963, it is highly ranked in Medical.",kaggle_fallback
State University Patna 55,state-university-patna-55,Patna,Bihar,GOVERNMENT,1960,140,Engineering,A++,4.3,747,52785,65601,90.1,11.1,23.9,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.state-university-patna-55.edu.in,True,"State University Patna 55 is a premier government institution located in Patna, Bihar. Established in 1960, it is highly ranked in Engineering.",kaggle_fallback
State University Patna 56,state-university-patna-56,Patna,Bihar,GOVERNMENT,1983,67,Law,A++,4.1,3893,400875,518221,68.1,7.6,41.2,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Law|MBA|B.Sc,https://www.state-university-patna-56.edu.in,True,"State University Patna 56 is a premier government institution located in Patna, Bihar. Established in 1983, it is highly ranked in Law.",kaggle_fallback
State University Dehradun 57,state-university-dehradun-57,Dehradun,Uttarakhand,DEEMED,1994,169,Engineering,A++,4.2,612,404189,549834,66.2,8.2,10.8,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.state-university-dehradun-57.edu.in,True,"State University Dehradun 57 is a premier deemed institution located in Dehradun, Uttarakhand. Established in 1994, it is highly ranked in Engineering.",kaggle_fallback
Kochi Institute of Arts 58,kochi-institute-of-arts-58,Kochi,Kerala,PRIVATE,1991,192,Arts,A++,4.1,1379,94549,132515,87.7,13.0,26.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Arts|MBA|B.Sc,https://www.kochi-institute-of-arts-58.edu.in,True,"Kochi Institute of Arts 58 is a premier private institution located in Kochi, Kerala. Established in 1991, it is highly ranked in Arts.",kaggle_fallback
Patna Institute of Science 59,patna-institute-of-science-59,Patna,Bihar,PRIVATE,1963,164,Science,A,3.9,819,330416,484869,87.4,5.2,10.5,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Science|MBA|B.Sc,https://www.patna-institute-of-science-59.edu.in,True,"Patna Institute of Science 59 is a premier private institution located in Patna, Bihar. Established in 1963, it is highly ranked in Science.",kaggle_fallback
State University Patna 60,state-university-patna-60,Patna,Bihar,DEEMED,1988,119,Management,A+,4.1,2874,94269,123103,81.2,7.4,17.5,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Management|MBA|B.Sc,https://www.state-university-patna-60.edu.in,True,"State University Patna 60 is a premier deemed institution located in Patna, Bihar. Established in 1988, it is highly ranked in Management.",kaggle_fallback
State University Kochi 61,state-university-kochi-61,Kochi,Kerala,DEEMED,2000,128,Medical,A+,4.8,2430,147597,165325,92.3,12.9,10.6,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Medical|MBA|B.Sc,https://www.state-university-kochi-61.edu.in,True,"State University Kochi 61 is a premier deemed institution located in Kochi, Kerala. Established in 2000, it is highly ranked in Medical.",kaggle_fallback
Bhopal Institute of Law 62,bhopal-institute-of-law-62,Bhopal,Madhya Pradesh,PRIVATE,1995,164,Law,A+,4.7,1274,480190,693626,76.5,12.9,11.6,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Law|MBA|B.Sc,https://www.bhopal-institute-of-law-62.edu.in,True,"Bhopal Institute of Law 62 is a premier private institution located in Bhopal, Madhya Pradesh. Established in 1995, it is highly ranked in Law.",kaggle_fallback
State University Nagpur 63,state-university-nagpur-63,Nagpur,Maharashtra,GOVERNMENT,1969,160,Commerce,B++,4.5,2639,141590,170095,62.2,14.1,29.2,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Commerce|MBA|B.Sc,https://www.state-university-nagpur-63.edu.in,True,"State University Nagpur 63 is a premier government institution located in Nagpur, Maharashtra. Established in 1969, it is highly ranked in Commerce.",kaggle_fallback
Amity University Jaipur 64,amity-university-jaipur-64,Jaipur,Rajasthan,PRIVATE,1945,152,Law,A+,4.1,1233,101121,118464,67.9,12.1,13.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Law|MBA|B.Sc,https://www.amity-university-jaipur-64.edu.in,True,"Amity University Jaipur 64 is a premier private institution located in Jaipur, Rajasthan. Established in 1945, it is highly ranked in Law.",kaggle_fallback
State University Patna 65,state-university-patna-65,Patna,Bihar,GOVERNMENT,1947,167,Arts,A++,4.5,3838,338955,454989,60.2,5.9,28.9,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Arts|MBA|B.Sc,https://www.state-university-patna-65.edu.in,True,"State University Patna 65 is a premier government institution located in Patna, Bihar. Established in 1947, it is highly ranked in Arts.",kaggle_fallback
Jaipur Institute of Engineering 66,jaipur-institute-of-engineering-66,Jaipur,Rajasthan,PRIVATE,2008,110,Engineering,A+,4.2,4869,190173,278833,93.0,11.7,44.6,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.jaipur-institute-of-engineering-66.edu.in,True,"Jaipur Institute of Engineering 66 is a premier private institution located in Jaipur, Rajasthan. Established in 2008, it is highly ranked in Engineering.",kaggle_fallback
